name,experince,team_name,birth_day,player_id,2024-25,2025-26
KJ Martin,5 years,Utah Jazz,2001-01-06,martike04,,"$8,025,000"
Tyrese Maxey,5 years,Philadelphia 76ers,2000-11-04,maxeyty01,,"$37,958,760"
Jared McCain,1 year,Philadelphia 76ers,2004-02-20,mccaija01,,"$4,221,360"
Isaiah Mobley,3 years,,1999-09-24,mobleis01,,
Pete Nance,2 years,Milwaukee Bucks,2000-02-19,nancepe01,,
Chuma Okeke,5 years,Cleveland Cavaliers,1998-08-18,okekech01,,"$2,546,675"
Kelly Oubre Jr.,10 years,Philadelphia 76ers,1995-12-09,oubreke01,,"$8,382,150"
Lester Quiñones,3 years,,2000-11-16,quinole01,,
Alex Reese,1 year,,1999-05-21,reeseal01,,
David Roddy,3 years,Toronto Raptors,2001-03-27,roddyda01,,
Lonnie Walker IV,7 years,Philadelphia 76ers,1998-12-14,walkelo01,,"$2,940,876"
Phillip Wheeler,1 year,,2002-04-23,wheelph02,,
Guerschon Yabusele,3 years,New York Knicks,1995-12-17,yabusgu01,,
Precious Achiuwa,5 years,,1999-09-19,achiupr01,,
OG Anunoby,8 years,New York Knicks,1997-07-17,anunoog01,,"$39,568,966"
MarJon Beauchamp,3 years,,2000-10-12,beaucma01,,
Mikal Bridges,7 years,New York Knicks,1996-08-30,bridgmi01,,"$24,900,000"
Jalen Brunson,7 years,New York Knicks,1996-08-31,brunsja01,,"$34,944,001"
Pacome Dadiet,1 year,New York Knicks,2005-07-27,dadiepa01,,"$2,847,600"
Josh Hart,8 years,New York Knicks,1995-03-06,hartjo01,,"$19,472,240"
Ariel Hukporti,1 year,New York Knicks,2002-04-11,hukpoar01,,"$1,955,377"
Tyler Kolek,1 year,New York Knicks,2001-03-27,kolekty01,,"$2,191,897"
Miles McBride,4 years,New York Knicks,2000-09-08,mcbrimi01,,"$4,333,333"
Kevin McCullar Jr.,1 year,,2001-03-15,mcculke01,,
Cameron Payne,10 years,,1994-08-08,payneca01,,
Mitchell Robinson,7 years,New York Knicks,1998-04-01,robinmi01,,"$12,954,546"
Matt Ryan,4 years,,1997-04-17,ryanma01,,
Landry Shamet,7 years,,1997-03-13,shamela01,,
Jericho Sims,4 years,Milwaukee Bucks,1998-10-20,simsje01,,
Jacob Toppin,2 years,Atlanta Hawks,2000-05-08,toppija01,,
Karl-Anthony Towns,10 years,New York Knicks,1995-11-15,townska01,,"$53,142,264"
P.J. Tucker,14 years,New York Knicks,1985-05-05,tuckepj01,,"$3,468,960"
Anton Watson,1 year,,2000-10-06,watsoan02,,
Delon Wright,10 years,,1992-04-26,wrighde01,,
Lonzo Ball,6 years,Cleveland Cavaliers,1997-10-27,balllo01,,"$10,000,000"
Matas Buzelis,1 year,Chicago Bulls,2004-10-13,buzelma01,,"$5,455,560"
