name,experince,team_name,birth_day,player_id,season,team_name,lg_id,salary
Al Horford,18 years,Atlanta Hawks,1986-06-03,horfoal01,2012-13,Atlanta Hawks,NBA,"$12,000,000"
Al Horford,18 years,Atlanta Hawks,1986-06-03,horfoal01,2013-14,Atlanta Hawks,NBA,"$12,000,000"
Al Horford,18 years,Atlanta Hawks,1986-06-03,horfoal01,2014-15,Atlanta Hawks,NBA,"$12,000,000"
Al Horford,18 years,Atlanta Hawks,1986-06-03,horfoal01,2015-16,Atlanta Hawks,NBA,"$12,000,000"
Al Horford,18 years,Boston Celtics,1986-06-03,horfoal01,2016-17,Boston Celtics,NBA,"$26,540,100"
Al Horford,18 years,Boston Celtics,1986-06-03,horfoal01,2017-18,Boston Celtics,NBA,"$27,734,405"
Al Horford,18 years,Boston Celtics,1986-06-03,horfoal01,2018-19,Boston Celtics,NBA,"$28,928,710"
Al Horford,18 years,Philadelphia 76ers,1986-06-03,horfoal01,2019-20,Philadelphia 76ers,NBA,"$28,000,000"
Al Horford,18 years,Oklahoma City Thunder,1986-06-03,horfoal01,2020-21,Oklahoma City Thunder,NBA,"$27,500,000"
Al Horford,18 years,Boston Celtics,1986-06-03,horfoal01,2021-22,Boston Celtics,NBA,"$27,000,000"
Al Horford,18 years,Boston Celtics,1986-06-03,horfoal01,2022-23,Boston Celtics,NBA,"$26,500,000"
Al Horford,18 years,Boston Celtics,1986-06-03,horfoal01,2023-24,Boston Celtics,NBA,"$10,000,000"
Al Horford,18 years,Boston Celtics,1986-06-03,horfoal01,2024-25,Boston Celtics,NBA,"$9,500,000"
Al Horford,18 years,(may be incomplete),1986-06-03,horfoal01,Career,(may be incomplete),,"$289,228,232"
Luke Kornet,8 years,New York Knicks,1995-07-15,kornelu01,2017-18,New York Knicks,NBA,< $Minimum
Luke Kornet,8 years,New York Knicks,1995-07-15,kornelu01,2018-19,New York Knicks,NBA,"$1,619,260"
Luke Kornet,8 years,Chicago Bulls,1995-07-15,kornelu01,2019-20,Chicago Bulls,NBA,"$2,250,000"
Luke Kornet,8 years,Boston Celtics,1995-07-15,kornelu01,2020-21,Boston Celtics,NBA,"$2,250,000"
